,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
274,2-комн.кв.,"Мосфильмовская ул, 22",38.0,Ломоносовский проспект м.,yellow,"сегодня, 00:03","сегодня, 00:03",3,9,21000000
1474,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 21 декабря 2021,"сегодня, 00:31",11,17,7568272
879,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,11,8219559
894,1-комн.кв.,"Радужная ул, 4",,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,4710855
514,2-комн.кв.,", 1",46.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:41",3,15,7547187
288,1-комн.кв.,"Новодмитровская ул, 2к7",39.0,Дмитровская м.,gray,Размещено 27 марта,"сегодня, 10:39",41,46,15550000
799,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:14",4,15,10327111
1166,2-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 3 февраля,"сегодня, 00:38",8,17,7717247
328,1-комн.кв.,"Союзный пр-кт, 13к1",35.0,Новогиреево м.,yellow,Размещено 19 марта,"сегодня, 10:39",5,12,10000000
1233,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",3,31,7175755
334,2-комн.кв.,"Обручева ул, 53",49.0,Зюзино м.,turquoise,Размещено 18 марта,"сегодня, 10:39",7,12,14200000
1514,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 30 октября 2021,"сегодня, 00:15",15,28,7999871
532,1-комн.кв.,", 1",39.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:14",2,17,8659253
314,1-комн.кв.,"Череповецкая ул, 11/20",38.0,Алтуфьево м.,gray,Размещено 23 марта,"сегодня, 10:39",10,16,12500000
74,2-комн.кв.,"Братская ул, 23 1",44.0,Перово м.,yellow,Размещено 28 марта,29 марта,9,9,12500000
1034,3-комн.кв.,", 1к1",69.0,Станция не указана,Ветка не указана,Размещено 16 февраля,"сегодня, 00:12",18,28,14816811
282,1-комн.кв.,", 1",38.0,Станция не указана,Ветка не указана,Размещено 28 марта,29 марта,8,17,6150000
482,2-комн.кв.,"Ленинградский пр-кт, 66",47.0,Аэропорт м.,green,Размещено 30 августа 2021,"сегодня, 16:02",10,10,16100000
1608,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 28 октября 2021,"сегодня, 00:21",3,28,7722774
1,1-комн.кв.,"Германа Титова ул, 8",36.0,Станция не указана,Ветка не указана,Размещено 27 марта,"сегодня, 19:23",5,16,8800000
